Rank,SW,LW,MildDip,SevereDip,Mult,Lookback,FinalValue,TotalReturn,CAGR,MaxDrawdown,TotalTrades
1,24,234,2.7000,18.7500,0.1000,63,401523.2324,234.6027,6.2249,32.6578,403
2,24,234,2.7500,18.7500,0.0750,63,401521.1971,234.6010,6.2249,32.6581,447
3,24,234,2.7000,18.7500,0.0750,63,401520.6332,234.6005,6.2249,32.6581,459
4,24,234,2.7500,18.7500,0.1000,63,401519.0216,234.5992,6.2249,32.6578,393
5,24,234,2.8000,18.7500,0.1000,63,401518.1636,234.5985,6.2249,32.6578,382
6,24,234,2.8000,18.7500,0.0750,63,401505.5352,234.5879,6.2247,32.6580,432
7,24,234,2.6500,18.7500,0.1000,63,401503.3657,234.5861,6.2247,32.6578,405
8,24,234,2.7000,18.7500,0.1250,63,401499.5549,234.5830,6.2246,32.6574,373
9,24,234,2.6500,18.7500,0.0750,63,401498.5961,234.5822,6.2246,32.6581,460
10,24,234,2.8000,18.7500,0.1250,63,401497.6437,234.5814,6.2246,32.6575,356
11,24,234,2.7500,18.7500,0.1250,63,401494.3147,234.5786,6.2246,32.6574,365
12,24,234,2.6500,18.7500,0.1250,63,401482.0602,234.5684,6.2244,32.6574,375
13,24,234,2.6000,18.7500,0.1000,63,401480.0395,234.5667,6.2244,32.6578,410
14,24,234,2.7500,18.7500,0.2500,63,401468.7017,234.5573,6.2242,32.6567,288
15,24,234,2.6000,18.7500,0.0750,63,401467.8406,234.5565,6.2242,32.6581,465
16,24,234,2.8500,18.7500,0.1000,63,401466.3931,234.5553,6.2242,32.6571,370
17,24,234,2.6000,18.7500,0.1250,63,401466.1632,234.5551,6.2242,32.6574,380
18,24,234,2.7000,18.7500,0.2500,63,401465.9893,234.5550,6.2242,32.6567,292
19,24,234,2.6000,18.7500,0.2500,63,401464.8240,234.5540,6.2242,32.6567,296
20,24,234,2.8000,18.7500,0.2500,63,401460.4795,234.5504,6.2241,32.6566,284
21,24,234,2.6500,18.7500,0.2500,63,401459.5026,234.5496,6.2241,32.6567,293
22,24,234,2.8500,18.7500,0.1250,63,401457.7794,234.5481,6.2241,32.6569,346
23,24,234,2.8500,18.7500,0.0750,63,401451.4508,234.5429,6.2240,32.6572,416
24,24,234,2.8500,18.7500,0.2500,63,401437.2528,234.5310,6.2238,32.6564,279
25,24,234,2.7500,18.7500,0.0500,63,401430.8302,234.5257,6.2237,32.6577,508
26,24,234,2.7000,18.7500,0.0500,63,401424.2443,234.5202,6.2236,32.6577,520
27,24,234,2.9000,18.7500,0.1000,63,401418.1575,234.5151,6.2235,32.6564,358
28,24,234,2.9000,18.7500,0.2500,63,401415.4432,234.5129,6.2235,32.6561,277
29,24,234,2.9000,18.7500,0.1250,63,401406.4988,234.5054,6.2234,32.6562,336
30,24,234,2.8000,18.7500,0.0500,63,401405.7326,234.5048,6.2234,32.6574,485
31,24,234,2.6500,18.7500,0.0500,63,401402.0534,234.5017,6.2233,32.6577,522
32,24,234,2.9000,18.7500,0.0750,63,401396.7830,234.4973,6.2233,32.6564,400
33,24,234,2.6000,18.7500,0.0500,63,401363.8687,234.4699,6.2228,32.6577,527
34,24,234,2.8500,18.7500,0.0500,63,401347.6038,234.4563,6.2226,32.6565,467
35,24,234,2.9000,18.7500,0.0500,63,401282.7043,234.4023,6.2218,32.6556,446
36,24,234,2.7500,18.2500,0.0750,57,400998.3012,234.1653,6.2180,32.6510,442
37,24,234,2.7500,18.0000,0.0750,55,400998.3012,234.1653,6.2180,32.6510,442
38,24,234,2.7500,18.2500,0.0750,55,400998.3012,234.1653,6.2180,32.6510,442
39,24,234,2.7500,18.0000,0.1000,55,400992.5081,234.1604,6.2179,32.6506,389
40,24,234,2.7500,18.2500,0.1000,57,400992.5081,234.1604,6.2179,32.6506,389
41,24,234,2.7500,18.2500,0.1000,55,400992.5081,234.1604,6.2179,32.6506,389
42,24,234,2.7000,18.0000,0.0750,55,400987.8065,234.1565,6.2178,32.6510,445
43,24,234,2.7000,18.2500,0.0750,57,400987.8065,234.1565,6.2178,32.6510,445
44,24,234,2.7000,18.2500,0.0750,55,400987.8065,234.1565,6.2178,32.6510,445
45,24,234,2.7000,18.2500,0.1000,57,400982.6587,234.1522,6.2178,32.6506,392
46,24,234,2.7000,18.2500,0.1000,55,400982.6587,234.1522,6.2178,32.6506,392
47,24,234,2.7000,18.0000,0.1000,55,400982.6587,234.1522,6.2178,32.6506,392
48,24,234,2.8000,18.0000,0.1000,55,400980.8902,234.1507,6.2178,32.6504,382
49,24,234,2.8000,18.2500,0.1000,55,400980.8902,234.1507,6.2178,32.6504,382
50,24,234,2.8000,18.2500,0.1000,57,400980.8902,234.1507,6.2178,32.6504,382
51,24,234,2.8000,18.2500,0.0750,55,400968.6514,234.1405,6.2176,32.6506,431
52,24,234,2.8000,18.0000,0.0750,55,400968.6514,234.1405,6.2176,32.6506,431
53,24,234,2.8000,18.2500,0.0750,57,400968.6514,234.1405,6.2176,32.6506,431
54,24,234,2.6500,18.2500,0.0750,55,400967.6980,234.1397,6.2176,32.6510,446
55,24,234,2.6500,18.2500,0.0750,57,400967.6980,234.1397,6.2176,32.6510,446
56,24,234,2.6500,18.0000,0.0750,55,400967.6980,234.1397,6.2176,32.6510,446
57,24,234,2.6500,18.2500,0.1000,57,400964.4961,234.1371,6.2175,32.6506,393
58,24,234,2.6500,18.2500,0.1000,55,400964.4961,234.1371,6.2175,32.6506,393
59,24,234,2.6500,18.0000,0.1000,55,400964.4961,234.1371,6.2175,32.6506,393
60,24,234,2.7500,18.2500,0.1250,55,400964.3852,234.1370,6.2175,32.6502,361
61,24,234,2.7500,18.2500,0.1250,57,400964.3852,234.1370,6.2175,32.6502,361
62,24,234,2.7500,18.0000,0.1250,55,400964.3852,234.1370,6.2175,32.6502,361
63,24,234,2.8000,18.0000,0.1250,55,400960.1822,234.1335,6.2175,32.6501,356
64,24,234,2.8000,18.2500,0.1250,57,400960.1822,234.1335,6.2175,32.6501,356
65,24,234,2.8000,18.2500,0.1250,55,400960.1822,234.1335,6.2175,32.6501,356
66,24,234,2.7000,18.0000,0.1250,55,400955.1810,234.1293,6.2174,32.6502,364
67,24,234,2.7000,18.2500,0.1250,55,400955.1810,234.1293,6.2174,32.6502,364
68,24,234,2.7000,18.2500,0.1250,57,400955.1810,234.1293,6.2174,32.6502,364
69,24,234,2.6000,18.2500,0.1000,57,400941.1699,234.1176,6.2172,32.6506,398
70,24,234,2.6000,18.2500,0.1000,55,400941.1699,234.1176,6.2172,32.6506,398
71,24,234,2.6000,18.0000,0.1000,55,400941.1699,234.1176,6.2172,32.6506,398
72,24,234,2.6500,18.2500,0.1250,57,400938.9645,234.1158,6.2172,32.6502,365
73,24,234,2.6500,18.0000,0.1250,55,400938.9645,234.1158,6.2172,32.6502,365
74,24,234,2.6500,18.2500,0.1250,55,400938.9645,234.1158,6.2172,32.6502,365
75,24,234,2.6000,18.0000,0.0750,55,400936.9426,234.1141,6.2172,32.6510,451
76,24,234,2.6000,18.2500,0.0750,55,400936.9426,234.1141,6.2172,32.6510,451
77,24,234,2.6000,18.2500,0.0750,57,400936.9426,234.1141,6.2172,32.6510,451
78,24,234,2.8500,18.2500,0.1000,57,400929.1196,234.1076,6.2171,32.6497,370
79,24,234,2.8500,18.2500,0.1000,55,400929.1196,234.1076,6.2171,32.6497,370
80,24,234,2.8500,18.0000,0.1000,55,400929.1196,234.1076,6.2171,32.6497,370
81,24,234,2.6000,18.2500,0.1250,57,400923.0675,234.1026,6.2170,32.6502,370
82,24,234,2.6000,18.0000,0.1250,55,400923.0675,234.1026,6.2170,32.6502,370
83,24,234,2.6000,18.2500,0.1250,55,400923.0675,234.1026,6.2170,32.6502,370
84,24,234,2.8000,18.0000,0.2500,55,400922.0780,234.1017,6.2170,32.6492,284
85,24,234,2.8000,18.2500,0.2500,55,400922.0780,234.1017,6.2170,32.6492,284
86,24,234,2.8000,18.2500,0.2500,57,400922.0780,234.1017,6.2170,32.6492,284
87,24,234,2.7500,18.2500,0.2500,55,400921.6924,234.1014,6.2170,32.6492,285
88,24,234,2.7500,18.0000,0.2500,55,400921.6924,234.1014,6.2170,32.6492,285
89,24,234,2.7500,18.2500,0.2500,57,400921.6924,234.1014,6.2170,32.6492,285
90,24,234,2.8500,18.2500,0.1250,55,400920.3180,234.1003,6.2170,32.6495,346
91,24,234,2.8500,18.2500,0.1250,57,400920.3180,234.1003,6.2170,32.6495,346
92,24,234,2.8500,18.0000,0.1250,55,400920.3180,234.1003,6.2170,32.6495,346
93,24,234,2.7000,18.2500,0.2500,57,400915.7141,234.0964,6.2169,32.6492,288
94,24,234,2.7000,18.0000,0.2500,55,400915.7141,234.0964,6.2169,32.6492,288
95,24,234,2.7000,18.2500,0.2500,55,400915.7141,234.0964,6.2169,32.6492,288
96,24,234,2.7500,18.0000,0.0500,55,400915.6919,234.0964,6.2169,32.6506,503
97,24,234,2.8500,18.2500,0.0750,55,400914.5671,234.0955,6.2169,32.6498,415
98,24,234,2.8500,18.0000,0.0750,55,400914.5671,234.0955,6.2169,32.6498,415
99,24,234,2.8500,18.2500,0.0750,57,400914.5671,234.0955,6.2169,32.6498,415
100,24,234,2.6000,18.2500,0.2500,55,400914.5489,234.0955,6.2169,32.6492,292
